ZONE,SYMBOL,ENTRY,STOP_LOSS,TARGET,TRADE_INSTRUMENT,EXCHANGE,TRADE_INSTRUMENT_TYPE,ZONE_STATUS,LOT_SIZE
12,BAJAJFINSV,5632,5564,6150,BAJAJFINSV20AUGFUT,NFO,FUTURES,PENDING,125
13,GAIL,108.6,111.4,97,GAIL20AUGFUT,NFO,FUTURES,PENDING,6100
14,BOSCHLTD,11850,11630,12500,BOSCHLTD20AUGFUT,NFO,FUTURES,PENDING,50
15,ITC,218,223,3200,ITC20AUG200PE,NFO,OPTION,PENDING,3200
16,HDFC,1669,1658.4,1740,HDFC20AUGFUT,NFO,FUTURES,PENDING,300
17,TATASTEEL,415.8,426,390,TATASTEEL20AUG360PE,NFO,OPTION,PENDING,1700
18,TORNTPHARM,2675,2700,2527,TORNTPHARM20AUGFUT,NFO,FUTURES,PENDING,500
19,M&M,532,523.9,560,M&M20AUGFUT,NFO,FUTURES,PENDING,1400
20,BPCL,397,392,410,BPCL20AUGFUT,NFO,FUTURES,PENDING,1800
20,BAJAJFINSV,5492,5427,6150,BAJAJFINSV20AUGFUT,NFO,FUTURES,PENDING,125
21,TECHM,768.6,784,734,TECHM20AUG680PE,NFO,OPTION,PENDING,1200
22,BAJFINANCE,2835,2769,3200,BAJFINANCE20AUG3100CE,NFO,OPTION,PENDING,250
23,BALKRISIND,1426,1454,1350,BALKRISIND20AUGFUT,NFO,FUTURES,PENDING,800
